Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
287,-173.40000,-173.40000,-174.75964,-183.00000,-182.90000,-183.50202,1.35964,1.35964,0.50202,0.60202,1.84861,1.84861,0.25203,0.36243,0.0027412,0.0027412,0.0010121,0.0012138
288,-173.70000,-173.70000,-175.11732,-183.00000,-183.00000,-183.55066,1.41732,1.41732,0.55066,0.55066,2.00878,2.00878,0.30323,0.30323,0.0028575,0.0028575,0.0011102,0.0011102
289,-174.20000,-174.20000,-175.49518,-183.00000,-183.00000,-183.57913,1.29518,1.29518,0.57913,0.57913,1.67749,1.67749,0.33539,0.33539,0.0026113,0.0026113,0.0011676,0.0011676
290,-174.80000,-174.80000,-175.79730,-183.10000,-183.00000,-183.60194,0.99730,0.99730,0.50194,0.60194,0.99461,0.99461,0.25195,0.36234,0.0020107,0.0020107,0.0010120,0.0012136
291,-175.40000,-175.40000,-176.06106,-183.10000,-183.10000,-183.62476,0.66106,0.66106,0.52476,0.52476,0.43700,0.43700,0.27537,0.27537,0.0013328,0.0013328,0.0010580,0.0010580
292,-175.90000,-175.90000,-176.30878,-183.10000,-183.10000,-183.64757,0.40878,0.40878,0.54757,0.54757,0.16710,0.16710,0.29983,0.29983,0.0008242,0.0008242,0.0011040,0.0011040
293,-176.50000,-176.50000,-176.54214,-183.10000,-183.10000,-183.68103,0.04214,0.04214,0.58103,0.58103,0.00178,0.00178,0.33759,0.33759,0.0000850,0.0000850,0.0011714,0.0011714
294,-177.10000,-177.10000,-176.73025,-183.10000,-183.20000,-183.71596,-0.36975,-0.36975,0.61596,0.51596,0.13672,0.13672,0.37941,0.26622,0.0007455,0.0007455,0.0012419,0.0010403
295,-177.50000,-177.50000,-176.90307,-183.20000,-183.20000,-183.75123,-0.59693,-0.59693,0.55123,0.55123,0.35632,0.35632,0.30385,0.30385,0.0012035,0.0012035,0.0011113,0.0011113
296,-177.80000,-177.80000,-177.03049,-183.20000,-183.30000,-183.78685,-0.76951,-0.76951,0.58685,0.48685,0.59215,0.59215,0.34439,0.23702,0.0015514,0.0015514,0.0011832,0.0009815
297,-178.10000,-178.10000,-177.12486,-183.30000,-183.30000,-183.79903,-0.97514,-0.97514,0.49903,0.49903,0.95090,0.95090,0.24903,0.24903,0.0019660,0.0019660,0.0010061,0.0010061
298,-178.40000,-178.40000,-177.16845,-183.30000,-183.30000,-183.78873,-1.23155,-1.23155,0.48873,0.48873,1.51671,1.51671,0.23885,0.23885,0.0024830,0.0024830,0.0009853,0.0009853
